UPC,System ID,Category Name,Price,QOH,Product ID,URL,Category,Photo,Brand Name,Name,Brand,Short Name,Pets,Size,buy_12_get_1_free
888641132003,210000035990,Cat > Food > Dry Food,10.99,2,10100300_1,https://www.littlepetexpress.com/products/fussie-cat-market-fresh-salmon-recipe-grain-free-dry-cat-food-1/?case_option=False,Dry Food,"['downloaded_images/10100300/10100300_1/image_35990.jpg', 'downloaded_images/10100300/10100300_1/image_35990_1B86ayL.jpg', 'downloaded_images/10100300/10100300_1/image_35990_m8cNM3F.jpg']",Fussie Cat,"Fussie Cat Market Fresh Salmon Recipe Grain-Free Dry Cat Food, 2-lb",Fussie Cat,Market Fresh Salmon Recipe Grain-Free,Cats,2-lb,No
888641132041,210000035994,Cat > Food > Dry Food,8.99,3,10100296_1,https://www.littlepetexpress.com/products/fussie-cat-market-fresh-chicken-turkey-recipe-grain-free-dry-cat-food-1/?case_option=False,Dry Food,"['downloaded_images/10100296/10100296_1/image_35994.jpg', 'downloaded_images/10100296/10100296_1/image_35994_MXd2qju.jpg', 'downloaded_images/10100296/10100296_1/image_35994_XD77GU6.jpg']",Fussie Cat,"Fussie Cat Market Fresh Chicken & Turkey Recipe Grain-Free Dry Cat Food, 2-lb",Fussie Cat,Market Fresh Chicken & Turkey Recipe Grain-Free,Cats,2-lb,No
888641132089,210000035999,Cat > Food > Dry Food,9.99,7,10100299_1,https://www.littlepetexpress.com/products/fussie-cat-market-fresh-salmon-chicken-recipe-grain-free-dry-cat-food-1/?case_option=False,Dry Food,"['downloaded_images/10100299/10100299_1/image_35999_CSfRCPs.jpg', 'downloaded_images/10100299/10100299_1/image_35999_tPwEEvX.jpg', 'downloaded_images/10100299/10100299_1/image_35999.jpg']",Fussie Cat,"Fussie Cat Market Fresh Salmon & Chicken Recipe Grain-Free Dry Cat Food, 2-lb",Fussie Cat,Market Fresh Salmon & Chicken Recipe Grain-Free,Cats,2-lb,No
073893020059,210000052384,Dog > Food > Wet Food,2.99,0,10100625_1,https://www.littlepetexpress.com/products/nutrisource-adult-lamb-and-rice-canned-dog-food/?case_option=False,Wet Food,['downloaded_images/10100625/10100625_1/image_52384.jpg'],NutriSource,"NutriSource Lamb & Rice Wet Dog Food Can, 13-oz",NutriSource,Adult Lamb and Rice,Dogs,13-oz,Yes
853965006019,210000054443,Dog > Treats > Bully Sticks & Natural Chews > Natural Chews,25.89,2,10100189_2,https://www.littlepetexpress.com/products/earth-animal-no-hide-salmon-chews-dog-treat-2pk-2/?case_option=False,Natural Chews,"['downloaded_images/10100189/10100189_2/image_54446_cs2H3HT.jpg', 'downloaded_images/10100189/10100189_2/image_54446_rMCBuws.jpg', 'downloaded_images/10100189/10100189_2/image_54446_D8gUEcf.jpg']",Earth Animal,"Earth Animal No-Hide Salmon Chew Dog Treat, Medium, 2-pack",Earth Animal,No-Hide Salmon Chew,Dogs,"Medium, 2-pack",No
693804109316,210000052401,Cat > Food > Wet Food,1.89,7,10100884_1,https://www.littlepetexpress.com/products/tiki-cat-hawaiian-grill-ahi-tuna-grain-free-canned-cat-food-4/?case_option=False,Wet Food,"['downloaded_images/10100884/10100884_1/image_52401_AToitAW.jpg', 'downloaded_images/10100884/10100884_1/image_52401_MWEmlkb.jpg']",Tiki Pets,"Tiki Cat Grill Ahi Tuna Recipe Canned Cat Food, 2.8-oz",Tiki Pets, Grill Ahi Tuna Recipe Canned Food,Cats,2.8-oz,Yes
628043606173,210000073289,Dog > Bowls & Feeders > Bowls & Diners > Bowls & Dishes,27.19,1,10100508,https://www.littlepetexpress.com/products/the-little-pet-shoppe/messy-mutts-travel-dog-water-bottle-bowl/,Bowls & Dishes,['downloaded_images/10100508/image_64702.jpg'],Messy Mutts,"Messy Mutts Travel Dog Water Bottle & Bowl, Watermelon",Messy Mutts,"Travel Dog Water Bottle & Bowl, Watermelon",Dogs,,No
035585131450,210000029936,Dog > Toys > Interactive Toys > Treat Toys & Dispensers,3.99,0,10100439_1,https://www.littlepetexpress.com/products/kong-puppy-dog-toy-color-varies-1/?case_option=False,Treat Toys & Dispensers,"['downloaded_images/10100439/10100439_1/image_29936.jpg', 'downloaded_images/10100439/10100439_1/image_29936_UXshMuR.jpg', 'downloaded_images/10100439/10100439_1/image_29936_blm795b.jpg']",KONG,"KONG Puppy Dog Toy, Color Varies, X-Small",KONG,"Puppy Toy, Color Varies",Dogs,X-Small,No
021653299122,210000056433,Dog > Grooming > Shampoos & Conditioners > Shampoos,21.39,2,10100065,https://www.littlepetexpress.com/products/the-little-pet-shoppe/bio-groom-indulge-argan-oil-dog-shampoo/,Shampoos,['downloaded_images/10100065/image_56568.png'],Bio-Groom,"Bio-Groom Indulge Argan Oil Dog Shampoo, 12-oz",Bio-Groom,Indulge Argan Oil Shampoo,Dogs,12-oz,No
186011001240,210000007458,Cat > Food > Freeze-Dried Food,47.29,1,10100807_1,https://www.littlepetexpress.com/products/stella-chewys-duck-duck-goose-dinner-grain-free-freeze-dried-cat-food-3/?case_option=False,Freeze-Dried Food,"['downloaded_images/10100807/10100807_1/image_7458_VgHHIqp.jpg', 'downloaded_images/10100807/10100807_1/image_7458_3uN5uUu.jpg', 'downloaded_images/10100807/10100807_1/image_7458_7k6pCZ0.jpg', 'downloaded_images/10100807/10100807_1/image_7458_Y1h8TON.jpg']",Stella & Chewy's,"Stella & Chewy's Duck Duck Goose Dinner Morsels Grain-Free Freeze-Dried Cat Food, 18-oz",Stella & Chewy's,Duck Duck Goose Dinner Morsels Grain-Free,Cats,18-oz,No
