System ID,UPC,Name,Category Name,Product ID,URL,Category,Images,Brand,Short Name,Pets,Size,buy_12_get_1_free,Discount,Limit,Buy,Get
210000000157,796289000120,"Animal Essentials Detox Blend Liver Support Dog & Cat Supplement, 2-oz bottle",Dog > Vitamins & Supplements > Heart & Liver Care,10100012_1,https://www.littlepetexpress.com/products/animal-essentials-detox-blend-liver-support-dog-cat-supplement-2/?case_option=False,Heart & Liver Care,['downloaded_images/10100012/10100012_1/image_157_793ozww.jpg'],Animal Essentials,Detox Blend Liver Support,Dogs & Cats,2-oz bottle,No,5,,,
210000073797,784815902642,"Lotus Oven-Baked Sardine & Herring Grain-Free Dry Cat Food, 2.2-lb",Cat > Food > Dry Food,10100476_1,https://www.littlepetexpress.com/products/lotus-sardine-and-herring-grain-free-dry-dog-food-2/?case_option=False,Dry Food,"['downloaded_images/10100476/10100476_1/image_65534_zFSovKc.jpg', 'downloaded_images/10100476/10100476_1/image_65534.jpg']",Lotus,Oven-Baked Sardine & Herring Grain-Free,Cats,2.2-lb,No,5,1,,
210000083817,888641135240,"Essence LIR Ocean Recipe Dry Dog Food, 4-lb",Dog > Food > Dry Food,10100207_1,https://www.littlepetexpress.com/products/Essence-LIR-Ocean-Recipe-Dry-Dog-Food-4-lb/?case_option=False,Dry Food,"['downloaded_images/10100207/10100207_1/image_76567_XRvtSWz.jpg', 'downloaded_images/10100207/10100207_1/image_76567_fIZ9D9N.jpg', 'downloaded_images/10100207/10100207_1/image_76567_gCivT69.jpg', 'downloaded_images/10100207/10100207_1/image_76567_C81Q7tE.jpg', 'downloaded_images/10100207/10100207_1/image_76567_16amm9U.jpg', 'downloaded_images/10100207/10100207_1/image_76567_unAmxzj.jpg']",Essence Pet Foods,Essence LIR Ocean Recipe,Dogs,4-lb,No,5,,,
210000068888,784815108280,"Lotus Oven-Baked Chicken Grain-Free Dry Cat Food, 2.2-lb",Cat > Food > Dry Food,10100475_1,https://www.littlepetexpress.com/products/lotus-chicken-recipe-all-life-stages-grain-free-oven-baked-dry-cat-food-2/?case_option=False,Dry Food,"['downloaded_images/10100475/10100475_1/image_59146_EST4JCL.jpg', 'downloaded_images/10100475/10100475_1/image_59146.jpg']",Lotus,Oven-Baked Chicken Grain-Free,Cats,2.2-lb,No,5,1,,
210000073798,784815902659,"Lotus Oven-Baked Sardine & Herring Grain-Free Dry Cat Food, 5-lb",Cat > Food > Dry Food,10100476_2,https://www.littlepetexpress.com/products/lotus-sardine-and-herring-grain-free-dry-dog-food-3/?case_option=False,Dry Food,"['downloaded_images/10100476/10100476_2/image_65535.jpg', 'downloaded_images/10100476/10100476_2/image_65535_QHmKj3V.jpg']",Lotus,Oven-Baked Sardine & Herring Grain-Free,Cats,5-lb,No,5,1,,
210000028843,784815101199,"Lotus Small Bites Oven-Baked Chicken & Brown Rice Senior Dry Dog Food, 4-lb",Dog > Food > Dry Food,10100479_1,https://www.littlepetexpress.com/products/lotus-oven-baked-senior-small-bites-recipe-dry-dog-food-1/?case_option=False,Dry Food,"['downloaded_images/10100479/10100479_1/image_28843_4hh7OyS.jpg', 'downloaded_images/10100479/10100479_1/image_28843.jpg']",Lotus,Small Bites Oven-Baked Chicken & Brown Rice Senior,Dogs,4-lb,No,5,1,,
210000083812,888641135189,"Essence LIR Ranch Recipe Dry Dog Food, 4-lb",Dog > Food > Dry Food,10100209_1,https://www.littlepetexpress.com/products/Essence-LIR-Ranch-Recipe-Dry-Dog-Food-4-lb/?case_option=False,Dry Food,"['downloaded_images/10100209/10100209_1/image_76562_ZWgn90s.jpg', 'downloaded_images/10100209/10100209_1/image_76562_PAbBynh.jpg', 'downloaded_images/10100209/10100209_1/image_76562_TU1g9BN.jpg', 'downloaded_images/10100209/10100209_1/image_76562_tBvhZ4v.jpg', 'downloaded_images/10100209/10100209_1/image_76562_2yBwSth.jpg', 'downloaded_images/10100209/10100209_1/image_76562_RZIcM69.jpg']",Essence Pet Foods,Essence LIR Ranch Recipe,Dogs,4-lb,No,5,,,
210000229745,810049514785,"Earth Animal Wisdom From The Sea Air-Dried Dog Food, 2-lb",Dog > Food > Air-Dried & Dehydrated Food,10100194_1,https://www.littlepetexpress.com/products/Earth-Animal-Dr-Bobs-WISDOM-From-The-Sea-Air-Dried-Dog-Food-2/?case_option=False,Air-Dried & Dehydrated Food,"['downloaded_images/10100194/10100194_1/image_235349_x5xxchf.jpg', 'downloaded_images/10100194/10100194_1/image_235349.jpg']",Earth Animal,WISDOM From The Sea,Dogs,2-lb,No,5,3,,
210000055605,796289009215,"Animal Essentials Milk Thistle Extract, 1-oz",Dog > Vitamins & Supplements,10100014_1,https://www.littlepetexpress.com/products/animal-essentials-milk-thistle-extract-2/?case_option=False,Vitamins & Supplements,['downloaded_images/10100014/10100014_1/image_55629.jpg'],Animal Essentials,Milk Thistle Extract,Dogs,1-oz,No,5,,,
210000229742,810049514747,"Earth Animal Wisdom Turkey Air-Dried Dog Food, 2-lb",Dog > Food > Air-Dried & Dehydrated Food,10100195_1,https://www.littlepetexpress.com/products/Earth-Animal-Dr-Bobs-WISDOM-Turkey-Air-Dried-Dog-Food-2/?case_option=False,Air-Dried & Dehydrated Food,"['downloaded_images/10100195/10100195_1/image_235346.jpg', 'downloaded_images/10100195/10100195_1/image_235346_B7PR59D.jpg']",Earth Animal,WISDOM Turkey,Dogs,2-lb,No,5,3,,
