System ID,UPC,Discount Name,Discount,Limit,Discount Taxable,Lifetime,Type
210000043817,837654611951,BIXBI | $10.00 OFF Supplements,10.0,3.0,True,08/31/2024,external_discount
210000043818,837654611968,BIXBI | $10.00 OFF Supplements,10.0,3.0,True,08/31/2024,external_discount
210000070902,066380003703,Okocat | $3.00 OFF Okocat Litter,3.0,,True,08/31/2024,external_discount
210000055605,796289009215,Animal Essentials | $5.00 OFF Tinctures,5.0,,True,08/31/2024,external_discount
210000055606,796289009222,Animal Essentials | $5.00 OFF Tinctures,5.0,,True,08/31/2024,external_discount
210000035992,888641132065,Fussie Cat | $7.00 OFF 10lb Bags of Chicken & Turkey Meal,7.0,,True,08/31/2024,external_discount
210000009265,856713005142,Skout's Honor | $2.00 OFF Skout's Honor Products,2.0,,True,08/31/2024,external_discount
210000009264,856713005272,Skout's Honor | $2.00 OFF Skout's Honor Products,2.0,,True,08/31/2024,external_discount
210000139723,857253003117,Earth Animal | $4.00 OFF Topical Remedies,4.0,,True,08/31/2024,external_discount
210000048515,858833002292,Raw Bistro | $3.00 OFF 3lb & $5.00 6lb Bison Entree,5.0,1.0,True,08/31/2024,external_discount
210000048514,858833002254,Raw Bistro | $3.00 OFF 3lb & $5.00 6lb Bison Entree,3.0,1.0,True,08/31/2024,external_discount
210000179573,810053870433,Skout's Honor | $2.00 OFF Skout's Honor Products,2.0,,True,08/31/2024,external_discount
210000069536,888641132638,Essence | Get $1.00 OFF 5.5oz Cat Cans,1.0,,True,08/31/2024,external_discount
210000103178,888641135196,Essence | Get $7.00 OFF 12.5lb LIR Bags,7.0,,True,08/31/2024,external_discount
210000083812,888641135189,Essence | Get $5.00 OFF 4lb LIR Bags,5.0,,True,08/31/2024,external_discount
210000083814,888641135226,Essence | Get $1.00 OFF 13oz LIR Cans,1.0,,True,08/31/2024,external_discount
210000103180,888641135257,Essence | Get $7.00 OFF 12.5lb LIR Bags,7.0,,True,08/31/2024,external_discount
210000083817,888641135240,Essence | Get $5.00 OFF 4lb LIR Bags,5.0,,True,08/31/2024,external_discount
210000083819,888641135288,Essence | Get $1.00 OFF 13oz LIR Cans,1.0,,True,08/31/2024,external_discount
210000103183,888641135325,Essence | Get $15.00 OFF 25lb LIR Bags,15.0,,True,08/31/2024,external_discount
210000103182,888641135318,Essence | Get $7.00 OFF 12.5lb LIR Bags,7.0,,True,08/31/2024,external_discount
210000083822,888641135301,Essence | Get $5.00 OFF 4lb LIR Bags,5.0,,True,08/31/2024,external_discount
210000083824,888641135349,Essence | Get $1.00 OFF 13oz LIR Cans,1.0,,True,08/31/2024,external_discount
210000069533,888641132591,Essence | Get $1.00 OFF 5.5oz Cat Cans,1.0,,True,08/31/2024,external_discount
210000219685,850045168001,Diggin' Your Dog | $2.00 OFF 4oz Firm Up!,2.0,10.0,True,08/31/2024,external_discount
210000000157,796289000120,Animal Essentials | $5.00 OFF Tinctures,5.0,,True,08/31/2024,external_discount
210000058537,855089008252,The Honest Kitchen | $3.00 OFF Supplement Canisters,3.0,5.0,True,08/31/2024,external_discount
210000058536,855089008245,The Honest Kitchen | $3.00 OFF Supplement Canisters,3.0,5.0,True,08/31/2024,external_discount
210000194457,810053870471,Skout's Honor | $2.00 OFF Skout's Honor Products,2.0,,True,08/31/2024,external_discount
210000243328,691835227931,My Perfect Pet | $3.00 OFF Glycemic Friendly Recipes,3.0,3.0,True,08/31/2024,external_discount
210000009256,856713005302,Skout's Honor | $2.00 OFF Skout's Honor Products,2.0,,True,08/31/2024,external_discount
210000243326,691835226835,My Perfect Pet | $3.00 OFF Glycemic Friendly Recipes,3.0,3.0,True,08/31/2024,external_discount
210000054798,852874005106,The Bear and the Rat | $1.00  OFF Frozen Yogurt 4-Packs,1.0,,True,08/31/2024,external_discount
210000048385,852874005069,The Bear and the Rat | $1.00  OFF Frozen Yogurt 4-Packs,1.0,,True,08/31/2024,external_discount
410000020161,810053870709,Skout's Honor | $2.00 OFF Skout's Honor Products,2.0,,True,08/31/2024,external_discount
210000254339,810053870693,Skout's Honor | $2.00 OFF Skout's Honor Products,2.0,,True,08/31/2024,external_discount
