Discount Name,Buy,Get,Discount Taxable,Buy Items,Get Items,Limit,Type
"Dave's Pet Food | Buy 3, Get 1 FREE on Stewlicious Dog Cans",3,1,True,[210000051139],[210000051139],,buy_get_free
NutriSource & PureVita | FREE 4-5lb Dog Kibble Bag with Purchase of 12lb or Larger,1,1,True,"[210000047386, 210000224051, 210000224058, 210000224039, 210000224057, 210000047153, 210000047159, 210000173511, 210000047332, 210000054718, 210000047306, 210000054716, 210000047152, 210000047158, 210000047366, 210000054715, 210000054728, 210000047289, 210000047298, 210000047139, 210000047265, 210000054724, 210000173510]","[210000081241, 210000082586, 210000086333, 210000047331, 210000054719, 210000054717, 210000047365, 210000070367, 210000054727, 210000047280, 210000047288, 210000047297, 210000047134, 210000054414, 210000047264, 210000054723]",,buy_get_free
"NutriSource | Buy 1, Get 1 FREE on Single Harvest Select Cans",1,1,True,"[210000245445, 210000245449, 210000245447]","[210000245445, 210000245449, 210000245447]",,buy_get_free
The Honest Kitchen | 2 FREE Toppers with a 10-20lb Whole Food Clusters for Dogs Purchase,1,2,True,"[210000069800, 210000069796]","['855089008177', '855089008153', '855089008207']",5.0,buy_get_free
